"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2012 3:25:42 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Gross domestic product","B191RA3",33.733,33.798,34.932,36.788,38.92,38.705,38.623,40.695,42.566,44.94,46.345,46.217,47.39,46.47,48.57,52.06,54.214,56.092,57.887,60.266,62.42,63.591,63.442,65.595,67.466,70.214,71.98,74.672,78,81.397,85.326,88.857,89.816,91.445,93.769,97.021,100,102.658,104.622,104.27,101.069,103.486,105.356
"9","2","Personal consumption expenditures","DPCERA3",30.399,31.112,32.297,34.283,35.982,35.683,36.492,38.525,40.146,41.916,42.912,42.761,43.41,44.015,46.531,48.998,51.551,53.642,55.297,57.525,59.152,60.359,60.45,62.511,64.731,67.203,69.021,71.429,74.066,77.95,82.213,86.382,88.718,91.08,93.65,96.731,100,102.85,105.218,104.637,102.602,104.46,107.103
"10","3","  Goods","DGDSRA3",29.216,29.447,30.679,32.685,34.378,33.124,33.349,35.684,37.215,38.753,39.373,38.376,38.83,39.101,41.589,44.586,46.931,49.556,50.448,52.322,53.643,53.975,52.904,54.571,56.838,59.836,61.623,64.383,67.453,72.01,77.745,81.847,84.417,87.848,91.89,95.988,100,103.322,106.394,103.776,100.697,104.304,108.263
"11","4","    Durable goods","DDURRA3",14.685,14.296,15.732,17.687,19.537,18.284,18.328,20.612,22.432,23.61,23.491,21.62,21.835,21.799,24.913,28.471,31.319,34.324,34.993,36.998,37.81,37.646,35.618,37.664,40.486,43.715,45.44,48.832,52.819,59.255,66.945,72.818,76.771,82.6,88.052,94.444,100,104.528,109.711,104.314,98.732,104.887,112.395
"12","5","      Motor vehicles and parts","DMOTRA3",26.77,23.967,28.617,32.594,35.727,29.821,29.662,35.684,39.462,41.241,38.78,33.805,34.568,35.486,42.307,49.243,55.608,59.669,57.26,60.578,60.457,59.493,52.401,56.705,59.862,63.603,62.616,65.653,70.093,77.422,84.549,87.239,91.698,96.525,99.158,100.55,100,96.618,98.345,84.967,79.04,80.71,85.117
"13","6","      Furnishings and durable household equipment","DFDHRA3",20.755,20.728,21.656,23.904,26.446,26.34,24.967,26.499,28.906,30.427,31.674,30.457,29.873,28.548,30.99,34.097,35.925,38.869,40.514,41.994,44.135,43.532,42.514,43.962,46.221,48.687,50.925,53.132,55.621,60.208,67.188,73.668,77.413,83.056,87.692,94.614,100,104.31,105.002,100.571,92.121,98.552,104.304
"14","7","      Recreational goods and vehicles","DREQRA3",3.165,3.386,3.502,4.062,4.488,4.508,4.829,5.254,5.606,5.982,6.295,6.048,6.211,6.242,7.225,8.477,9.421,10.905,12.213,13.373,13.949,14.287,14.767,15.699,18.113,21.026,24.041,27.761,32.08,38.536,46.758,54.903,60.358,67.691,76.329,87.808,100,113.873,128.152,133.051,131.136,145.602,162.589
"15","8","      Other durable goods","DODGRA3",17.372,18.215,19.049,20.088,22.817,23.943,25.331,27.893,29.481,31.095,30.691,28.071,28.491,28.541,31.105,34.642,37.237,41.488,42.98,44.422,44.987,45.219,43.254,44.13,46.354,48.478,49.61,52.906,55.555,61.012,68.293,74.361,72.763,77.574,84.445,91.797,100,107.67,112.739,108.97,103.319,107.841,112.309
