"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2009 10:38:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","B     Nonfarm industries","CNF0",45228,87952,64096,77856,109520,51584,60220,56292,76196,38656,59980,103480,41336,93048,59216,37708,-12948,-1932,-31488,-80496,-11120,11544,28172,28808,19128,-3848,12204,28064,30712,52340,58136,60996,86480,19832,5828,60040,52136,72776,69284,18812,-13544,-3768,23192,-26732,-25828,-71888,-45492,-35036,-136528
"10","2","B Mining, utilities, and construction","CCMU0",360,4896,4288,-784,5932,6464,4504,8292,2552,716,-2256,-3152,3792,-2180,272,-8576,9696,13812,9832,9380,668,-6828,-3680,-4744,1336,4828,6640,10672,-6988,-512,5992,4488,4152,10096,524,-1132,-2884,11612,8364,9040,5664,1212,-3488,-7660,-15396,-14380,-15016,-11128,-8712
"11","3","B Manufacturing industries","C300",15192,23448,21768,23504,33100,19036,10816,9972,13304,7736,15460,29400,-2736,19824,3760,10680,-8636,-23920,-28496,-23772,-14452,-11216,3128,-1044,-2316,-15540,-17032,-4336,-772,6036,-1672,7048,41764,5188,5676,16928,17912,20884,16300,5036,-9780,-10204,-2492,2956,18088,-37164,-38748,8648,-15252
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","B     Durable goods industries","C30D0",10488,16988,15564,13256,29576,19628,12544,10128,8368,-104,9008,16212,-5280,14736,3460,16112,-4408,-16152,-26568,-24644,-17364,-11332,-4076,5636,-4328,-15696,-13824,7976,-4448,3020,2480,6748,29528,8696,11936,10924,2188,8412,13224,8140,-836,-14072,-2920,16940,3852,-19712,-8160,51164,-5868
"14","5","D       Wood product manufacturing","C3210",-660,196,1580,332,-544,336,928,1176,908,128,-580,1688,208,-12,-20,980,-840,808,-148,-1260,1340,-140,-44,80,244,-920,-800,992,2244,-80,1232,-528,4316,-1032,-816,852,-404,2000,504,-1420,-1376,-1128,-772,-636,-3052,-1248,712,-308,808
"15","6","D       Nonmetallic mineral product manufacturing","C3270",508,740,-396,-156,264,-80,-76,84,-172,-88,984,548,-424,240,92,692,-136,-404,-580,-820,-508,-68,348,520,992,500,-400,-2236,-20,-236,120,748,484,96,-608,-344,132,552,1244,592,-592,-940,-224,132,-696,-1684,-700,40,-376
"16","7","D       Primary metal manufacturing","C3310",-1136,-128,932,2116,872,2188,2776,624,-244,624,-308,1748,472,848,-1208,-1752,-1140,-2628,-1644,-1544,-2240,-652,516,1100,-648,-3896,-3212,-2000,-2012,1684,1940,4816,8344,2184,-1760,-1556,-324,-1564,4564,1668,-4264,-4508,-3116,-4868,-1072,-2700,3520,6268,-2088
"17","8","D       Fabricated metal product manufacturing","C3320",548,1932,320,2392,780,3676,296,280,-28,316,1416,1984,-736,3864,-240,-344,240,-356,-1008,-3140,-720,-964,880,-332,5260,-3512,-3132,-1708,-2132,-1672,1512,1280,4036,2640,280,544,1948,4,-240,1764,1036,-4484,-1552,1096,-4252,-5956,-3220,4804,3152
"18","9","D       Machinery manufacturing","C3330",1256,3584,-680,1716,3772,-440,3032,-1744,796,-888,-664,2524,-1020,3688,2736,5184,344,-4908,-5960,-6120,-1420,-3992,-1560,436,-4840,-2700,-2224,2280,-532,-524,-648,28,2464,3384,4608,-804,1868,1732,2012,2216,972,-296,1864,1272,1828,-6792,-5116,6236,508
"19","10","D       Computer and electronic product manufacturing","C3340",7020,9140,11024,5360,6720,132,-1500,-1952,7408,3620,4380,3928,1884,15376,7592,19848,2792,-4920,-15296,-10656,-3036,-6188,-48,-2320,-2628,-3716,1144,10012,308,5292,1220,2160,100,1136,3756,6432,488,424,-396,-3652,472,-2096,-924,4988,3544,-572,596,3956,-2932
"20","11","D       Electrical equipment, appliance, and component manufacturing","C3350",-408,2056,556,-272,880,-744,728,1060,-424,644,184,-460,-460,1080,1232,1380,248,-1468,-1644,-864,-520,244,-316,-608,-576,-676,-968,284,-1136,168,596,-1144,388,-140,240,-496,944,-736,-160,1432,-312,-1708,-248,2364,-192,-1192,-432,-144,-1536
